"Študenti visokošolskega študija na univerzah in samostojnih"
"visokošolskih zavodih po: VISOKOŠOLSKI ZAVOD, VRSTA IZOBRAŽEVANJA,"
"LETNIK, NAÈIN ŠTUDIJA , ŠTUDIJSKO LETO"

" ";" ";" ";" ";"2004/05";"2005/06";"2006/07";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18"
"Visokošolski zavodi - SKUPAJ"
" ";"Vrsta izobraževanja - SKUPAJ"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";99607;100548;100113;99021;98128;98279;91539;89600;86471;79518;74131;69636;68546;66181
" ";" ";" ";"Redni";67305;67895;69786;70489;71194;72970;71733;71551;70214;65885;62709;58731;56562;54379
" ";" ";" ";"Izredni";32302;32653;30327;28532;26934;25309;19806;18049;16257;13633;11422;10905;11984;11802
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";33366;32383;31531;31318;31994;31657;29626;29610;29591;27992;26466;25712;25712;24498
" ";" ";" ";"Redni";20762;20867;21394;22089;22577;24683;23970;24702;25114;24089;22896;21960;21330;20248
" ";" ";" ";"Izredni";12604;11516;10137;9229;9417;6974;5656;4908;4477;3903;3570;3752;4382;4250
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";20980;22189;22013;21386;20795;23796;20790;20551;20021;19445;18199;17120;17068;17343
" ";" ";" ";"Redni";13379;13669;13690;13523;13903;14805;15104;15441;15597;15731;15092;14231;13752;13697
" ";" ";" ";"Izredni";7601;8520;8323;7863;6892;8991;5686;5110;4424;3714;3107;2889;3316;3646
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";17928;17460;18131;17846;16906;16159;16386;14281;14349;12983;12289;11868;11929;11167
" ";" ";" ";"Redni";11650;11423;11764;11893;11511;11841;11871;10357;10422;9962;9726;9417;9191;8663
" ";" ";" ";"Izredni";6278;6037;6367;5953;5395;4318;4515;3924;3927;3021;2563;2451;2738;2504
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";8294;9042;8615;9114;8098;7295;6040;6179;2132;2113;2191;2054;1903;1768
" ";" ";" ";"Redni";6771;7029;7254;7637;6738;6128;5160;5060;1924;2019;2126;1882;1795;1693
" ";" ";" ";"Izredni";1523;2013;1361;1477;1360;1167;880;1119;208;94;65;172;108;75
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";953;1042;1056;1140;1156;1228;1470;1212;940;756;716;773;739;698
" ";" ";" ";"Redni";923;1006;1037;1125;1089;1158;1401;1150;893;715;675;755;721;662
" ";" ";" ";"Izredni";30;36;19;15;67;70;69;62;47;41;41;18;18;36
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";198;195;207;198;260;294;305;345;332;399;391;401;490;401
" ";" ";" ";"Redni";198;195;207;198;260;294;305;345;332;399;391;401;490;401
