"Študenti visokošolskega študija na univerzah in samostojnih"
"visokošolskih zavodih po: VISOKOŠOLSKI ZAVOD, VRSTA IZOBRAŽEVANJA,"
"LETNIK, NAÈIN ŠTUDIJA, SPOL , ŠTUDIJSKO LETO"

"Univerze - SKUPAJ"
" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";"1. letnik"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";3713
" ";" ";" ";" ";" ";"2005";3275
" ";" ";" ";" ";" ";"2006";3196
" ";" ";" ";" ";" ";"2007";2354
" ";" ";" ";" ";" ";"2008";1924
" ";" ";" ";" ";" ";"2009";-
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";3740
" ";" ";" ";" ";" ";"2005";2791
" ";" ";" ";" ";" ";"2006";2276
" ";" ";" ";" ";" ";"2007";1840
" ";" ";" ";" ";" ";"2008";1531
" ";" ";" ";" ";" ";"2009";1
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";"Izredni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";3102
" ";" ";" ";" ";" ";"2005";2031
" ";" ";" ";" ";" ";"2006";1248
" ";" ";" ";" ";" ";"2007";640
" ";" ";" ";" ";" ";"2008";449
" ";" ";" ";" ";" ";"2009";37
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";3710
" ";" ";" ";" ";" ";"2005";1911
" ";" ";" ";" ";" ";"2006";1013
" ";" ";" ";" ";" ";"2007";524
" ";" ";" ";" ";" ";"2008";506
" ";" ";" ";" ";" ";"2009";2
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";"2. letnik"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";1982
" ";" ";" ";" ";" ";"2005";1900
" ";" ";" ";" ";" ";"2006";1724
" ";" ";" ";" ";" ";"2007";1587
" ";" ";" ";" ";" ";"2008";1266
" ";" ";" ";" ";" ";"2009";1077
" ";" ";" ";" ";" ";"2010";1
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";2503
" ";" ";" ";" ";" ";"2005";2300
" ";" ";" ";" ";" ";"2006";1634
" ";" ";" ";" ";" ";"2007";1324
" ";" ";" ";" ";" ";"2008";1031
" ";" ";" ";" ";" ";"2009";842
" ";" ";" ";" ";" ";"2010";1
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";"Izredni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";1548
" ";" ";" ";" ";" ";"2005";1549
" ";" ";" ";" ";" ";"2006";1261
" ";" ";" ";" ";" ";"2007";883
" ";" ";" ";" ";" ";"2008";410
" ";" ";" ";" ";" ";"2009";303
" ";" ";" ";" ";" ";"2010";57
" ";" ";" ";" ";" ";"2011";8
" ";" ";" ";" ";" ";"2012";-
