id,aid
10,535
10,342
10,526
11,535
11,182
11,205
12,780
13,564
13,189
14,57
14,625
15,415
15,252
16,38
16,140
17,535
18,700
19,315
20,437
21,597
22,721
23,734
24,249
25,438
26,423
26,192
27,539
27,506
27,666
28,810
29,563
30,180
30,400
31,182
32,619
32,505
33,109
33,197
33,63
34,92
34,82
35,438
35,115
35,378
36,498
36,390
36,472
38,115
39,113
39,461
39,658
39,386
39,75
39,573
40,193
41,423
41,22
41,192
41,692
42,733
42,340
43,199
44,241
45,311
46,805
46,634
47,546
47,547
49,388
49,131
49,597
50,109
51,187
51,201
52,733
53,745
53,34
54,634
54,765
55,792
56,315
57,614
57,462
57,383
57,424
57,607
58,490
58,286
60,27
60,490
60,733
60,619
61,738
62,117
62,293
63,692
64,116
64,118
64,512
65,327
66,514
66,310
66,376
67,74
68,508
68,294
69,328
69,139
71,310
71,514
71,376
73,509
73,416
73,109
73,285
74,527
74,565
75,778
75,789
76,438
76,568
77,395
77,187
78,635
78,576
79,199
80,752
80,689
80,292
81,158
81,733
82,544
82,136
82,705
82,65
82,504
83,544
83,136
84,492
84,724
85,18
85,630
85,69
86,457
86,402
87,306
87,452
88,253
88,663
88,719
89,298
89,532
90,179
90,732
91,396
91,690
91,233
92,493
92,725
93,319
93,646
94,153
95,248
96,594
97,37
97,16
98,640
98,390
99,545
99,307
100,423
100,192
100,174
100,388
100,620
101,746
101,575
101,638
102,524
102,646
103,254
103,600
103,733
104,27
104,165
104,733
104,725
109,706
110,514
110,310
110,376
111,653
112,530
112,251
113,369
114,697
114,174
114,388
115,390
115,484
116,462
116,614
116,607
117,589
117,643
118,721
119,166
120,182
120,656
120,46
120,62
121,396
122,139
122,357
123,134
124,742
124,215
125,320
126,497
126,619
126,638
127,238
127,379
133,45
133,759
133,120
133,131
134,116
135,248
135,498
135,390
136,376
137,19
137,39
138,506
139,313
140,499
142,165
143,92
143,165
143,264
144,529
144,316
144,187
145,163
146,420
146,157
146,71
147,407
147,461
147,290
147,10
148,2
150,470
150,316
150,181
150,201
152,670
152,250
152,367
152,646
152,500
153,551
153,119
153,711
153,810
154,109
155,662
155,212
155,763
155,52
155,387
155,358
155,600
155,101
155,538
158,213
158,150
159,508
159,108
160,536
162,315
162,483
162,494
162,600
162,93
163,24
163,121
165,756
165,738
166,651
167,590
167,338
167,117
168,336
168,399
168,790
168,607
168,447
169,199
169,597
170,355
170,158
170,231
170,595
170,71
171,170
171,23
172,463
173,301
173,329
173,12
173,721
174,684
175,89
175,135
175,98
175,61
176,443
176,670
176,783
177,230
177,395
177,187
179,802
179,742
180,195
180,174
184,462
184,383
184,607
185,501
186,562
186,43
187,375
187,197
188,238
189,692
190,370
190,765
190,226
191,728
191,16
192,777
192,271
193,619
193,694
194,354
194,638
195,296
195,319
196,12
196,799
196,721
197,203
197,40
199,236
200,572
200,695
200,252
201,238
201,733
202,618
203,645
204,602
204,128
205,66
205,438
206,115
207,376
208,328
208,138
208,698
210,514
210,310
210,376
211,88
211,757
212,267
212,36
212,108
212,617
218,174
219,244
220,116
221,496
221,390
222,492
222,236
223,22
223,619
223,588
223,620
225,450
225,567
225,553
225,228
226,22
226,733
226,77
227,398
227,633
228,619
228,597
228,244
229,492
229,619
229,620
230,382
230,652
230,628
231,274
231,137
232,406
232,646
232,500
232,569
233,686
233,716
233,388
234,634
234,765
235,453
236,469
238,116
238,199
240,111
243,559
243,597
244,317
245,172
245,638
246,159
246,537
246,646
246,500
247,601
248,716
248,319
248,692
249,425
249,485
250,463
250,145
250,326
250,26
251,193
251,321
251,503
252,525
252,689
253,384
254,723
254,187
255,368
256,637
256,340
257,272
257,151
257,346
257,581
258,254
258,374
259,438
259,767
260,139
260,357
260,427
261,599
261,806
261,775
262,428
262,304
262,339
263,462
263,765
263,731
264,270
264,515
264,283
265,129
265,774
266,528
267,28
268,541
269,266
269,688
270,112
270,554
270,638
271,753
271,193
272,184
272,718
272,332
272,722
273,155
273,259
273,73
274,650
275,112
275,638
276,796
276,581
277,612
277,627
277,340
278,696
278,318
280,491
280,302
281,715
282,51
282,622
283,312
283,337
283,412
283,232
283,581
284,249
285,123
285,517
285,303
286,242
288,110
288,508
289,664
289,754
290,83
290,130
290,78
291,396
292,772
292,659
293,398
293,750
294,22
294,645
295,235
295,107
296,720
296,370
296,765
296,226
296,134
298,582
298,277
298,593
299,125
299,385
299,208
299,206
300,772
300,366
301,759
301,442
302,619
302,413
303,422
304,37
304,309
305,74
305,471
306,126
306,48
307,626
307,561
307,480
308,513
309,486
310,466
310,299
311,723
311,187
312,645
313,146
313,33
313,478
314,116
314,173
314,162
314,91
314,748
315,37
315,309
318,2
318,423
318,174
318,388
319,250
320,422
320,549
321,35
321,371
321,315
322,376
322,739
322,725
322,177
323,556
323,658
324,734
324,323
325,300
325,43
326,672
326,675
326,220
328,7
328,734
328,673
329,558
330,497
330,638
330,26
331,764
331,791
331,670
332,804
333,768
334,710
334,11
334,295
334,13
335,282
335,467
336,180
336,333
338,639
338,554
338,638
339,477
339,259
339,657
339,73
340,679
340,733
341,444
341,100
341,405
342,21
342,489
343,159
343,194
343,714
344,746
344,233
344,638
345,178
346,438
346,207
346,434
347,411
348,542
349,104
349,350
349,540
351,25
351,626
351,561
353,278
353,257
353,8
353,629
354,2
354,423
354,192
355,660
355,297
357,587
357,655
359,325
359,561
360,401
361,196
362,315
362,35
363,258
363,29
365,193
367,584
367,613
368,749
368,102
369,451
369,773
370,687
370,508
371,632
371,555
372,202
372,391
373,787
374,368
374,367
374,789
374,808
375,756
375,738
376,314
377,634
377,268
378,229
378,68
378,464
379,703
379,227
380,133
380,409
381,281
381,631
381,270
381,283
382,158
382,638
382,26
387,558
391,636
391,518
392,161
392,86
392,188
392,273
392,243
393,165
394,807
394,762
394,143
395,584
395,613
396,473
396,732
396,647
396,112
397,353
397,9
397,570
397,131
398,493
398,733
398,77
399,426
400,352
400,302
401,465
401,263
401,735
402,430
403,255
404,122
404,527
404,131
405,431
405,722
406,64
406,795
407,41
409,755
410,334
410,124
411,561
412,175
412,265
412,641
413,113
413,103
413,190
414,797
414,85
414,742
415,554
415,638
416,650
416,661
417,555
417,419
417,665
420,793
420,789
421,679
421,465
422,608
422,474
422,732
422,604
423,54
423,550
423,356
424,600
424,93
424,315
424,495
425,160
425,448
425,740
426,707
426,403
426,678
426,685
427,398
427,616
428,603
429,708
430,527
430,105
431,456
431,388
431,244
432,769
432,763
432,610
432,689
434,398
434,401
434,733
434,77
435,461
435,222
435,607
437,186
437,693
438,533
439,80
440,368
441,671
441,776
442,322
442,711
442,810
443,187
443,201
443,288
444,334
444,124
445,239
445,67
445,713
446,536
448,698
448,484
449,137
450,682
450,794
451,192
452,577
452,167
453,124
454,648
455,361
455,658
455,798
455,668
456,50
457,619
457,694
458,355
459,148
459,741
459,618
459,132
460,184
460,531
461,365
461,106
461,704
462,404
462,786
462,276
466,211
467,114
467,692
468,49
468,454
468,181
471,492
471,578
472,649
472,519
472,44
475,768
476,623
476,364
477,519
477,44
478,4
479,584
479,734
479,613
480,363
480,330
480,367
481,16
481,728
482,376
482,310
482,739
482,725
483,372
483,654
484,84
484,380
485,709
485,435
485,436
486,3
488,770
488,787
489,521
489,299
489,785
490,194
490,362
491,779
491,760
491,445
492,557
492,15
492,176
492,95
493,730
493,171
493,340
494,586
494,335
494,115
494,733
495,770
495,787
496,17
496,392
497,308
498,284
498,291
499,789
499,156
499,368
500,341
500,809
501,459
501,534
501,99
502,699
502,131
503,583
503,124
504,245
504,274
504,137
504,6
505,106
505,96
505,144
506,433
506,256
506,56
507,463
507,94
507,344
508,259
508,73
512,315
512,185
512,371
512,418
514,401
515,394
515,751
516,154
516,488
517,548
517,42
520,788
520,368
522,59
522,475
524,204
525,701
525,680
525,683
526,710
526,571
526,717
526,441
526,14
527,334
527,198
527,500
528,432
528,598
529,142
530,359
531,522
531,326
532,260
533,347
533,592
533,390
534,30
535,127
535,47
536,476
536,224
536,579
536,511
537,542
537,55
538,289
538,305
538,644
539,585
539,499
540,566
540,406
540,404
540,397
542,667
542,141
542,726
544,367
544,800
545,97
545,261
545,591
547,239
547,31
548,32
548,726
550,492
550,422
551,331
552,272
552,417
552,581
553,58
553,606
553,735
554,479
554,765
554,70
554,455
555,734
556,810
557,458
557,79
557,262
558,734
558,324
558,638
560,543
560,267
560,36
560,108
562,804
563,702
564,200
564,560
565,183
565,280
566,448
566,740
567,287
568,152
568,552
569,471
569,187
570,587
570,655
570,597
572,218
572,624
572,784
573,619
573,343
574,580
574,351
574,184
574,209
575,393
575,164
575,468
575,381
575,20
576,113
576,727
576,596
577,76
577,743
578,430
578,481
579,497
579,389
579,638
579,26
580,269
581,747
581,507
582,425
582,803
582,485
582,460
583,744
584,516
584,5
585,502
585,605
586,674
586,721
586,421
587,328
587,484
588,789
588,793
589,669
589,81
589,574
591,149
591,348
592,621
592,771
593,523
593,410
594,619
594,520
595,90
596,676
596,280
597,74
598,262
598,349
600,247
601,810
602,765
602,626
602,561
602,480
603,718
603,722
603,390
605,43
605,439
605,414
605,219
606,709
607,527
607,244
608,487
608,692
609,615
609,426
609,581
610,240
610,246
611,87
612,681
612,68
612,464
613,72
613,53
616,789
616,406
616,646
616,500
616,566
617,729
618,482
620,770
620,787
621,742
621,215
622,782
622,96
622,761
623,737
624,670
624,423
624,192
625,609
625,408
626,812
627,642
628,712
628,449
629,758
629,555
630,226
630,244
631,196
631,766
631,279
631,440
632,237
632,225
632,811
632,429
632,611
633,411
633,360
633,377
634,168
634,147
634,221
637,226
637,244
638,345
638,217
639,169
640,679
640,60
643,168
643,274
643,691
643,223
644,210
644,373
644,216
644,1
644,214
647,269
648,677
650,510
650,41
651,781
651,234
651,368
652,736
652,801
652,446
653,275
653,786
653,404
654,465
654,191
