author,aid
Abe Yeck,1
Ademir Hujdurović,2
Adnan Melekoğlu,3
Adrián Bacelo,4
Adrián Pastine,5
Adrián Vázquez-Ávila,6
Afshin Behmaram,7
Ahmad Gholami,8
Ahmad N. Al-kenani,9
Ajitha R. Subhamathi,10
Aki Mori,11
Akihiro Munemasa,12
Akihiro Shikama,13
Akiyoshi Tsuchiya,14
Alain Bretto,15
Alain Giorgetti,16
Alan F. Beardon,17
Alan Shuchat,18
Alberto Policriti,19
Alberto Vigneron-Tenorio,20
Aleksandar Ilić,21
Aleksander Malnič,22
Aleksander Vesel,23
Aleksandra Erić,24
Aleksandra Gorzkowska,25
Aleksandra Tepeh,26
Alen Orbanić,27
Aleš Vavpetič,28
Alessandra Cornaro,29
Alessandro Fonda,30
Alessandro Siciliano,31
Alex Schaefer,32
Alexander A. Ivanov,33
Alexander D. Mednykh,34
Alexander Farrugia,35
Alexander Guterman,36
Alexander Mednykh,37
Alexandr V. Kostochka,38
Alexandru I. Tomescu,39
Alexey Medvedev,40
Alfredo Donno,41
Ali Iranmanesh,42
Ali Reza Ashrafi,43
Ali Taherkhani,44
Alice Devillers,45
Alice M. Dean,46
Altino F. Santos,47
Altino Santos,48
Álvaro Martínez-Pérez,49
Alyssa Sankey,50
Amela Muratović-Ribić,51
Amit Sethi,52
Ana Klobučar,53
Ana Simić,54
Ana Zalokar,55
András Pluhár,56
André Kündgen,57
Andrea C. Burgess,58
Andrea Lucchini,59
Andrea Vietri,60
Andreas Paffenholz,61
Andrei M. Margea,62
Andrej Vodopivec,63
Andrew Beveridge,64
Andrew Woldar,65
Angela Berardinelli,66
Angelo Sonnino,67
Anita Pasotti,68
Ann N. Trenk,69
Anna Dorota Krystek,70
Ante Graovac,71
Antoaneta Klobučar,72
Antoinette Tripodi,73
Antonio Breda d'Azevedo,74
Antony Mathews,75
Anush Hakobyan,76
Arjana Žitnik,77
Arnold Knopfmacher,78
Arrigo Bonisoli,79
Artūras Dubickas,80
Ashraf Daneshkhah,81
Asia Ivić Weiss,82
Aubrey Blecher,83
Aureliano M. Robles Pérez,84
Avraham Goldstein,85
Balázs Keszegh,86
Balázs Patkós,87
Baoyindureng Wu,88
Barbara Baumeister,89
Barbara Ikica,90
Barbara Maenhaut,91
Barry Monson,92
Barry T. Pickup,93
Bartłomiej Bosek,94
Bassam Mourad,95
Ben Gong Lou,96
Bence Csajbók,97
Benjamin Nill,98
Benjamin Wyser,99
Benjian Lv,100
Benoit de La Vaissiere,101
Bernd Schulze,102
Bert L. Hartnell,103
Bill Allombert,104
Binzhou Xia,105
Bo Ling,106
Bo Ning,107
Bojan Kuzma,108
Bojan Mohar,109
Boris Cergol,110
Boris Zgrablić,111
Borut Lužar,112
Boštjan Brešar,113
Boštjan Frelih,114
Branko Grünbaum,115
Brian Alspach,116
Brigitte Servatius,117
C. C. Chen,118
C. M. da Fonseca,119
Cai Heng Li,120
Carlos M. da Fonseca,121
Carmen Amarra,122
Carmen Hernando,123
Carol T. Zamfirescu,124
Casey Mann,125
Catarina Avelino,126
Catarina P. Avelino,127
Chalermpong Worawannotai,128
Chang-Jian Zhao,129
Charlotte Brennan,130
Cheryl E. Praeger,131
Chiara Nicotera,132
Chris Godsil,133
Christiaan E. van de Woestijne,134
Christian Haase,135
Christian Pech,136
Christian Rubio-Montiel,137
Christina Graves,138
Christina M. Graves,139
Christopher J. Stocker,140
Christopher R. H. Hanusa,141
Christopher Tuffley,142
Chunwei Song,143
Ci Xuan Wu,144
Cichacz Sylwia,145
Clara Franchi,146
Corrado Zanella,147
Costantino Delizia,148
Coy L. May,149
Craig Eric Larson,150
Craig Larson,151
Cristina Ballantine,152
Cristina Sarti,153
Csilla Bujtás,154
Curt C. Lindner,155
Da-Wei Yang,156
Dae-Won Lee,157
Damir Vukičević,158
Dan Archdeacon,159
Dandan Li,160
Dániel Gerbner,161
Daniel Horsley,162
Daniel Kalmanovich,163
Daniel Marı́n-Aragón,164
Daniel Pellicer,165
Daniel Pinto,166
Daniel R. Hawtin,167
Daniele Bartoli,168
Daniil Mamaev,169
Danilo Korže,170
Darja Rupnik Poklukar,171
Darko Dimitrov,172
Darryn Bryant,173
Dave Witte Morris,174
David Bevan,175
David Ellison,176
David G. L. Wang,177
David Gajser,178
Dávid Hudák,179
David Singerman,180
Deborah Oliveros,181
Debra L. Boutin,182
Dengju Ma,183
Diane M. Donovan,184
Didar A. Ali,185
Dimbinaina Ralaivaosaona,186
Dimitri Leemans,187
Dömötör Pálvölgyi,188
Douglas B. West,189
Douglas F. Rall,190
Douglas Robert Stinson,191
Dragan Marušič,192
Dragan Stevanović,193
Drago Bokal,194
Ebrahim Ghaderpour,195
Ebrahim Ghorbani,196
Eckhard Steffen,197
Edita Máčajová,198
Edward Dobson,199
Edwin R. van Dam,200
Egon Schulte,201
Ehsan Estaji,202
Elena Konstantinova,203
Elif Saygı,204
Ellen Gethner,205
Ellen Vitercik,206
Elliott Jacksch,207
Emily Peirce,208
Emine Şule Yazıcı,209
Eric Bucher,210
Eric Ens,211
Erin Delisle,212
Ermelinda DeLaViña,213
Ethan Zwede,214
Eugen Mandrescu,215
Evan Runburg,216
Fabio Vlacci,217
Fang Duan,218
Fatemeh ‎Koorepazan-Moftakhar,219
Feifei Song,220
Ferdinando Zullo,221
Ferdoos Hossein Nezhad,222
Fernanda Pambianco,223
Flavio Bonetti,224
Flórián Kovács,225
Florian Lehner,226
Francesc Antoni Muntaner-Batle,227
Francesc Sebé,228
Francesca Merola,229
Francis Buekenhout,230
Franco Cataldo,231
Frank Schneider,232
František Kardoš,233
Fu-Gang Yin,234
Fuyuan Chen,235
Gabe Cunningham,236
Gábor Domokos,237
Gábor Gévay,238
Gábor Korchmáros,239
Gábor Nyul,240
Gábor Salamon,241
Gábor Somlai,242
Gábor Wiener,243
