id,kid
10,682
10,791
10,664
11,1275
11,1544
11,231
11,600
11,100
12,232
12,257
12,1528
12,1095
13,1202
13,538
13,33
13,771
14,359
14,23
14,956
14,1423
14,840
15,678
15,378
16,60
16,997
17,231
17,831
17,355
17,389
18,668
18,126
18,1517
18,495
18,1313
18,1538
18,1355
19,64
19,1106
19,507
20,683
20,355
21,1318
21,203
22,636
22,1441
23,1661
23,1664
23,1663
23,293
23,704
24,811
24,126
24,1037
25,308
26,1639
26,103
26,745
26,749
26,751
26,1389
26,6
27,346
27,512
28,65
28,685
28,1461
28,453
28,980
29,1677
30,200
30,391
30,810
31,669
31,447
31,126
32,1179
32,823
33,688
33,1329
33,1423
33,1493
34,52
34,1510
35,68
35,1117
36,1586
36,518
36,843
36,1312
36,1199
38,111
38,1407
38,1452
39,1573
39,1285
39,1606
39,653
39,837
40,435
40,427
40,882
40,1311
41,668
41,1479
41,637
42,979
42,1556
42,1339
43,1137
43,1302
43,126
44,1432
44,1649
44,760
45,435
45,188
45,922
45,764
45,175
46,680
46,1016
46,406
47,1677
49,1478
49,1641
49,487
49,1089
49,126
50,355
50,648
51,51
51,1317
51,1248
52,497
52,516
52,801
53,339
53,1077
53,418
53,617
53,537
54,671
54,191
54,1231
54,673
55,1179
55,1571
55,946
56,64
56,1412
56,1101
56,558
56,1411
56,333
57,369
57,366
57,1346
57,1269
57,887
57,509
57,278
57,188
58,819
58,638
58,197
58,108
60,966
60,1230
60,668
60,1229
60,204
61,503
61,502
61,762
61,199
62,302
63,471
63,126
63,1266
63,877
64,88
64,753
64,201
64,634
64,794
65,115
65,1178
65,71
66,648
66,649
66,488
67,735
67,1341
67,812
67,970
67,1337
67,1336
68,1298
68,1387
68,272
68,1072
69,615
69,613
69,87
69,713
71,669
71,649
71,1634
73,822
73,743
74,1477
75,200
75,745
75,1576
76,1677
77,1251
77,337
78,670
78,701
78,179
79,200
79,46
79,126
79,120
79,1137
80,917
80,1502
80,1239
81,555
81,1163
81,1262
82,298
82,625
82,249
82,251
82,115
82,1477
82,70
82,1565
82,1042
82,467
82,722
82,640
83,97
83,126
83,115
83,301
83,432
83,635
83,662
83,733
83,599
83,981
83,1166
83,1333
83,1369
84,449
84,727
84,1459
84,1044
85,1156
85,1652
85,673
85,1070
85,934
86,282
86,448
86,450
86,119
87,987
87,265
87,1433
88,1196
88,448
88,442
89,454
89,1588
89,716
89,1076
89,1080
90,17
90,925
91,1201
91,563
91,478
92,1677
93,379
93,1178
93,1416
93,1371
94,394
94,1650
94,165
94,689
94,403
94,581
94,1342
94,603
94,1410
95,763
95,765
95,126
95,623
96,894
96,1651
96,1642
97,517
97,1496
97,1122
97,1351
97,1621
97,609
98,1639
98,178
98,384
98,659
99,1257
99,605
100,201
100,758
101,589
101,1376
102,669
102,967
102,517
102,121
103,784
103,707
103,788
104,497
104,498
104,969
104,1525
109,1220
109,779
109,1064
109,1381
109,107
110,669
110,649
110,488
111,677
111,180
112,1677
113,697
113,254
113,1136
114,200
114,756
115,1191
115,126
115,1233
115,1193
115,1328
115,16
116,369
116,366
116,922
117,1
117,1506
117,582
117,1073
117,1148
118,636
118,1441
119,812
119,473
119,1234
119,85
119,1512
119,646
120,657
120,792
120,1224
121,1200
121,563
121,476
122,615
122,614
122,172
122,1256
123,714
123,1039
123,564
124,999
124,331
124,977
124,1607
124,899
125,439
125,1604
125,200
126,1661
126,878
126,1582
126,243
127,530
127,919
127,1316
127,648
127,1366
127,1522
133,929
133,1362
133,1360
134,751
134,881
134,752
135,1314
135,932
136,650
136,747
136,1160
136,666
136,1135
136,1554
137,554
137,1579
137,1396
137,1283
137,974
138,971
138,714
138,735
138,1152
139,479
139,1280
140,1645
140,459
140,832
140,1655
140,1095
140,775
140,821
142,225
142,1303
143,53
144,50
144,79
145,97
145,115
145,433
145,662
145,733
145,1531
145,1602
146,669
146,588
146,1375
146,397
146,475
147,1205
147,1006
147,964
147,763
147,881
147,746
148,102
148,236
148,1267
150,479
150,1223
150,202
152,1314
152,279
152,1242
153,464
153,1405
153,908
153,1437
154,669
154,698
154,1495
154,1063
154,724
154,546
155,835
155,714
155,1214
155,1223
158,352
158,351
158,830
158,978
158,900
159,985
159,793
159,1326
160,309
160,1592
162,64
162,1412
162,1107
162,1609
162,852
163,669
163,1582
163,983
163,504
163,1054
163,861
165,849
165,201
165,705
166,394
166,140
166,73
166,1343
167,1533
167,521
167,1498
168,641
168,1277
168,1278
168,160
168,1051
168,1274
168,250
169,233
169,1534
170,709
170,32
170,1661
170,295
171,1140
171,778
171,1456
171,299
172,1244
172,1240
172,1582
173,785
173,928
173,684
173,1435
173,1349
174,1041
174,962
174,903
175,1181
175,409
175,913
176,1179
176,1233
176,1639
176,1391
177,1251
177,337
177,951
179,96
179,1216
179,326
179,912
179,1220
180,200
180,756
180,1071
180,271
184,365
184,328
184,871
184,188
184,1153
185,1429
185,853
185,1599
185,703
186,1527
186,485
186,1339
186,1338
187,1184
187,1471
187,1424
188,1434
188,1203
188,1301
188,1241
188,825
189,407
189,321
190,449
190,130
190,841
191,500
191,1352
191,1127
191,643
192,17
192,926
192,364
192,417
193,669
193,126
193,1517
193,950
193,1391
193,371
193,943
194,320
194,188
195,696
195,380
195,40
196,785
196,928
196,684
196,1435
197,12
197,13
197,14
197,43
199,54
199,531
199,594
199,1024
200,1260
200,330
200,194
201,1625
201,1615
201,870
202,1619
202,170
202,868
203,343
203,668
203,729
203,924
203,1646
204,1612
204,470
204,472
204,466
205,309
205,824
206,1408
207,650
207,1154
207,1585
207,1583
208,615
208,613
208,1256
210,650
210,1354
210,1245
210,1160
210,34
210,37
211,425
211,1279
211,475
211,1252
211,1324
212,273
212,984
212,212
218,200
218,756
218,271
219,105
219,1213
219,1388
220,751
220,200
220,346
220,752
220,753
221,669
221,1212
221,384
221,397
221,125
221,725
221,1639
221,200
222,55
222,531
222,594
222,1549
223,198
223,1288
225,91
225,1237
225,1425
226,343
226,181
226,1306
226,130
227,1207
227,1254
227,26
228,669
228,404
228,493
228,1637
228,101
228,744
229,669
229,493
229,1637
229,744
230,715
230,182
230,1601
231,692
231,67
231,1453
232,1310
232,1053
232,786
232,1028
233,237
233,126
233,200
233,468
233,737
234,706
234,77
235,960
235,236
235,1478
235,1476
235,1611
235,80
236,967
236,591
236,1525
236,215
238,1593
238,126
238,200
238,755
240,1327
240,519
240,241
240,1345
243,1118
243,42
243,201
244,457
244,1157
244,189
244,1472
244,1645
245,1540
245,1542
245,1672
246,998
246,1065
246,145
246,368
246,320
247,1347
247,598
247,200
248,1356
248,126
248,874
248,1639
249,1012
249,1304
249,508
250,430
250,731
250,1473
251,1438
251,690
251,284
251,287
251,1597
252,753
252,638
252,752
252,761
252,898
252,1569
253,892
253,618
253,1289
254,297
254,915
255,1489
255,411
255,1635
256,1021
256,186
256,851
256,568
257,1198
257,358
257,645
257,1297
258,669
258,534
258,424
258,503
259,309
260,615
260,613
260,172
260,1256
261,455
261,459
261,896
262,1486
262,1384
262,1084
262,982
262,269
262,377
262,601
262,1290
262,1047
262,144
262,1061
263,188
263,1268
263,675
263,98
263,1158
263,1243
264,552
264,132
264,893
264,1330
264,1222
264,1449
265,1020
265,1514
265,1023
265,69
266,285
266,450
266,266
266,1584
267,270
267,364
267,1176
267,85
268,596
268,808
268,1568
268,1096
268,1094
268,92
269,669
269,710
270,477
270,1115
270,482
271,540
271,543
271,1295
271,1174
272,155
272,1129
272,1603
273,1002
273,1001
274,1341
274,72
274,393
275,842
275,1194
275,1455
276,1446
276,1038
276,1264
277,676
277,99
277,602
277,209
278,511
278,1004
278,292
280,708
280,848
280,200
280,101
280,1638
280,1646
280,694
281,1475
281,17
282,294
282,1159
282,1484
282,1219
282,579
282,216
282,575
283,1201
283,84
283,549
283,777
284,223
284,224
284,769
284,790
285,457
285,661
285,952
285,275
285,168
286,201
286,234
288,1466
288,854
288,973
288,1570
289,1532
289,1390
289,75
289,1069
289,1263
289,1643
290,139
290,920
290,643
290,124
291,1201
291,476
292,846
292,1092
292,1639
292,59
292,1427
293,1247
293,1209
293,9
294,76
294,45
294,207
294,342
294,668
294,729
294,732
294,924
294,937
294,1385
295,846
295,1092
295,1670
295,1033
295,492
296,715
296,1039
296,565
296,77
298,1140
298,820
298,778
298,1456
298,1587
298,426
299,1551
299,525
299,1613
299,1457
300,1671
300,884
300,39
300,1092
301,22
301,20
301,1178
302,669
302,404
302,101
302,1125
303,303
303,864
303,1155
303,324
303,516
304,669
304,803
304,790
304,1344
304,1367
305,813
305,970
305,809
305,1320
305,1130
305,227
306,408
306,264
306,1447
306,1523
307,1559
307,1521
307,1562
307,1561
308,1341
308,668
308,803
308,616
308,126
308,770
308,174
308,699
309,348
309,200
310,106
310,138
310,210
310,361
310,362
310,419
310,542
310,1018
310,1091
310,520
310,862
310,1494
310,1660
311,1314
311,1108
311,1483
311,217
312,76
312,668
312,729
312,924
312,1307
312,1648
313,963
313,117
313,1041
313,768
314,1109
314,691
314,679
314,24
315,669
315,907
315,876
315,906
315,1430
318,200
318,125
318,256
318,255
319,1314
319,1312
319,344
319,1178
319,196
320,1610
320,529
320,392
320,305
321,1098
321,620
321,239
321,283
322,1555
322,693
322,954
322,1291
323,1032
323,184
323,1153
323,613
323,1059
324,991
324,992
324,177
324,176
324,1142
324,1182
324,335
325,1032
325,700
325,126
326,1657
326,64
326,838
328,1169
328,1189
328,612
328,742
329,505
329,165
330,681
330,1661
330,131
330,1556
330,1036
330,221
331,104
331,341
331,29
332,1265
332,246
332,644
333,567
333,1145
333,390
333,8
333,38
334,587
334,484
335,334
335,358
335,523
335,524
335,1097
335,1218
336,1314
336,1188
336,572
338,1482
338,1112
338,1111
338,1113
338,1530
339,82
339,81
339,7
340,639
340,819
340,759
340,539
340,205
341,719
341,331
341,1253
341,514
341,988
342,570
342,959
342,459
342,28
343,628
343,626
343,627
343,665
344,611
344,358
344,1194
344,1557
345,1395
345,325
345,213
345,162
345,584
346,309
346,824
347,1414
347,780
347,1075
347,860
348,976
348,909
348,547
349,536
349,44
349,1465
349,1448
349,867
351,479
351,1518
351,444
351,190
353,1406
353,1382
353,363
353,1632
353,480
354,669
354,1637
354,126
354,541
354,1114
355,1539
355,1361
355,398
355,833
355,557
357,443
357,128
357,1045
357,1654
359,445
359,125
359,840
359,478
359,839
360,1217
360,1357
360,535
361,1099
361,200
362,1100
362,220
362,1098
362,1081
362,1035
363,715
363,965
363,1557
363,173
365,506
365,64
365,1665
367,611
367,1335
367,1675
367,356
367,888
367,1168
367,451
367,1007
368,827
368,1190
368,1215
368,923
368,1517
368,312
369,533
369,313
369,1582
369,997
370,702
370,781
370,880
370,574
370,109
371,252
371,117
371,1232
371,1505
372,1470
372,1399
373,1545
373,288
373,1197
374,127
374,134
374,200
374,101
375,1630
375,253
375,200
376,405
376,1078
376,1050
376,338
376,873
377,706
377,975
377,370
378,757
378,375
378,1513
378,284
379,905
379,429
379,428
379,386
379,387
380,1170
380,834
380,532
381,835
381,1543
381,1398
381,1296
381,123
381,122
382,211
382,146
382,1426
387,1442
387,717
391,1062
391,658
391,1628
392,1394
392,668
392,1374
392,723
393,222
393,610
394,163
394,850
394,1238
394,1605
395,1364
395,990
395,483
395,499
395,245
395,110
395,1676
395,1594
395,1596
395,1595
396,789
396,1022
396,150
396,1074
397,496
397,1132
397,381
397,1577
398,1524
398,1639
398,103
398,200
398,188
398,341
399,1444
399,1286
399,1445
400,773
400,154
401,1463
401,727
401,401
401,1417
401,905
402,1025
402,2
402,1029
402,1058
403,458
403,624
403,1164
403,373
404,1511
404,201
404,1271
404,933
405,1443
405,183
405,49
406,1261
406,944
406,192
406,1046
407,1668
407,64
407,431
407,1439
407,434
407,1661
409,712
409,560
409,711
409,1507
410,755
410,816
410,1191
410,659
410,358
410,548
411,479
411,1520
411,444
411,244
411,1194
412,385
412,201
412,238
412,1488
413,423
413,1659
413,659
413,1042
413,1212
414,322
414,136
414,135
414,621
414,1656
415,836
415,61
415,1194
415,659
416,394
416,1342
416,573
417,118
417,734
420,200
420,745
420,126
421,754
421,727
421,1110
421,400
421,1436
422,1201
422,659
422,486
422,469
423,953
423,327
424,65
424,218
424,1034
424,504
424,1656
425,1358
425,1151
425,586
425,1204
426,449
426,674
426,259
427,927
427,783
427,1008
427,1397
427,137
428,169
428,1591
428,918
429,47
429,323
429,728
430,407
430,1636
430,19
431,208
431,201
431,490
431,1501
432,477
432,890
432,1056
432,1273
432,755
432,242
434,1258
434,1270
434,1249
434,826
434,258
434,1553
434,655
434,1499
434,1666
434,78
434,972
435,1574
435,329
435,782
435,1353
435,133
437,1485
437,1086
437,787
437,1284
438,114
438,304
439,74
439,1323
439,1322
439,961
439,1373
440,1085
440,147
440,188
441,21
441,126
441,1235
441,593
442,686
442,462
442,559
442,1103
443,56
443,1467
443,1419
443,1180
444,817
444,1423
444,866
444,461
445,1617
445,1048
446,309
446,1592
446,986
448,562
448,1536
448,736
448,1626
